open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI
2024-11-26 03:00:00+03:00,8.238,8.56,8.203,8.456,8694.04,52.06022187004753,0.4275384064171076,-0.06807345615859894,-0.07129911299624815,0.0032256568376492073,8.871006535807371,8.48925,8.107493464192629,11.312912,10.516044,9.872,9.227956,8.311012,11.574019734168482,55.932203389830434,41.84651404990385,0.34607142857142864,1.8917941920713344,-43.50318442587793
2024-11-26 07:00:00+03:00,8.46,8.534,8.312,8.356,10712.8,48.70790916209866,0.413269471753284,-0.07074299011677887,-0.0711878884203543,0.0004448983035754278,8.871056337707115,8.48535,8.099643662292886,11.312912,10.516044,9.872,9.227956,8.311012,12.39328344012843,44.63276836158188,44.18079096045193,0.34392857142857153,4.241516966067863,-48.24206147636604
2024-11-26 11:00:00+03:00,8.355,8.364,7.922,7.994,18817.11,34.14730208743602,0.3951584204532724,-0.10090581028211254,-0.07713147279270595,-0.02377433748940659,8.904269534211187,8.460449999999998,8.01663046578881,11.312912,10.516044,9.872,9.227956,8.311012,15.17807805066501,7.792207792207796,36.11905984787338,0.34728571428571436,-4.7653085537288575,-179.5857917492761
2024-11-26 15:00:00+03:00,7.994,8.195,7.898,7.945,14153.38,33.47506764592191,0.37715287828927097,-0.12729655758792013,-0.08716448975174879,-0.04013206783617135,8.925567332698458,8.42925,7.932932667301542,11.312912,10.516044,9.872,9.227956,8.311012,18.108694118122504,5.042918454935684,19.15596486957513,0.3517857142857144,-7.36854377987641,-180.4710980638856
2024-11-26 19:00:00+03:00,7.943,8.139,7.906,7.944,7037.59,41.49496885481553,0.3445070406923343,-0.14660216806867687,-0.0990520254151344,-0.047550142653542474,8.934004445541353,8.39785,7.861695554458647,11.312912,10.516044,9.872,9.227956,8.311012,21.093019271353597,5.215419501133819,6.016848582759109,0.33050000000000007,-8.373702422145328,-161.71450737005495
2024-11-26 23:00:00+03:00,7.945,8.079,7.918,8.063,6836.36,51.222048881955295,0.2769835128273342,-0.15056408889469708,-0.10935443811104695,-0.04120965078365013,8.900612603322038,8.365549999999999,7.8304873966779605,11.312912,10.516044,9.872,9.227956,8.311012,21.924724621068748,18.70748299319739,9.65527364975564,0.311857142857143,-5.915985997666274,-131.98630852521686
2024-11-27 03:00:00+03:00,8.063,8.095,7.937,8.04,10381.55,38.71173469387753,0.23166837364848608,-0.15378708567981647,-0.11824096762480085,-0.03554611805501562,8.904513640693311,8.34995,7.795386359306687,11.312912,10.516044,9.872,9.227956,8.311012,23.88174233461708,16.09977324263033,13.340891912320524,0.29000000000000015,-6.129597197898428,-111.20174007612839
2024-11-27 07:00:00+03:00,8.042,8.294,8.021,8.287,10626.73,41.11519607843142,0.2959743708390616,-0.13485596252650822,-0.12156396660514233,-0.013291995921365887,8.897357340377992,8.3432,7.789042659622006,11.312912,10.516044,9.872,9.227956,8.311012,26.010082003976294,44.10430839002282,26.30385487528353,0.295357142857143,-2.757568645857773,-47.448342530309105
2024-11-27 11:00:00+03:00,8.293,8.305,8.12,8.268,8674.99,37.09884467265731,0.38381931998846425,-0.12000273541178963,-0.1212517203664718,0.0012489849546821752,8.828094301644164,8.316650000000001,7.805205698355838,11.312912,10.516044,9.872,9.227956,8.311012,28.318942530011494,41.95011337868493,34.05139833711271,0.28964285714285737,-0.6608194160759308,-32.21506833841615
2024-11-27 15:00:00+03:00,8.268,8.427,8.144,8.408,8617.85,44.93116395494366,0.43280485243514893,-0.09582994795254507,-0.11616736588368647,0.020337417931141397,8.758059635702555,8.29705,7.836040364297446,11.312912,10.516044,9.872,9.227956,8.311012,30.347460298915458,57.82312925170068,47.95918367346949,0.2920000000000002,1.9893255701115928,8.184418005719182
2024-11-27 19:00:00+03:00,8.407,8.489,8.333,8.463,14814.81,46.90533980582523,0.48354405907986325,-0.0714116107927083,-0.10721621486549084,0.035804604072782534,8.772201535860178,8.30525,7.838298464139819,11.312912,10.516044,9.872,9.227956,8.311012,32.346888069178824,73.85620915032668,57.87648392690411,0.285714285714286,0.08278145695363852,48.35665431838112
2024-11-27 23:00:00+03:00,8.463,8.58,8.388,8.58,16718.0,51.68408826945412,0.5443488098174567,-0.0421332940914958,-0.09419963071069183,0.05206633661919603,8.794940708123452,8.333450000000001,7.871959291876549,11.312912,10.516044,9.872,9.227956,8.311012,31.507067833786063,94.59084604715677,75.42339481639472,0.268214285714286,2.680708472953569,74.86080267773836
2024-11-28 03:00:00+03:00,8.58,8.59,8.36,8.36,6863.92,51.061388410785966,0.5675219907899568,-0.0362641480254009,-0.08261253417363365,0.04634838614823275,8.792551532800893,8.33175,7.8709484671991055,11.312912,10.516044,9.872,9.227956,8.311012,30.496787690019307,66.76300578034677,78.40335365927676,0.25592857142857184,4.578433825369023,40.66894716837684
2024-11-28 07:00:00+03:00,8.371,8.486,8.317,8.351,4965.23,53.19784817692771,0.5885230497561538,-0.031970496286717776,-0.07248412659625048,0.0405136303095327,8.76678594852694,8.32045,7.874114051473059,11.312912,10.516044,9.872,9.227956,8.311012,28.496885765343244,65.4624277456649,75.60542652438949,0.23985714285714327,5.110132158590316,24.263261296660154
2024-11-28 11:00:00+03:00,8.356,8.496,8.286,8.488,9648.21,51.001251564455565,0.6158338826491877,-0.017313413057985727,-0.06144998388859753,0.0441365708306118,8.734497740779023,8.311350000000001,7.888202259220978,11.312912,10.516044,9.872,9.227956,8.311012,27.3455076761479,85.26011560693638,72.49518304431602,0.22935714285714326,6.847935548841888,44.36362645744794
2024-11-28 15:00:00+03:00,8.492,8.627,8.431,8.477,16644.21,54.00927766732937,0.6360601680409486,-0.00651013231686548,-0.05046201357425112,0.04395188125738564,8.719804854791985,8.3067,7.893595145208014,11.312912,10.516044,9.872,9.227956,8.311012,26.991392125473475,79.42386831275718,76.7154705551195,0.22750000000000042,5.134565298276072,84.19710774889228
